"Fahrt: Name","Ende Wochentag"
"1384676","1 Montag"
"2161540","1 Montag"
"1384756","1 Montag"
"2161555","1 Montag"
"1384917","1 Montag"
"2161704","1 Montag"
"1385211","1 Montag"
"2161977","1 Montag"
"1385272","1 Montag"
"2162657","1 Montag"
"1385361","1 Montag"
"2162789","1 Montag"
"1385532","1 Montag"
"2162863","1 Montag"
"1385794","1 Montag"
"2162994","1 Montag"
"1385893","1 Montag"
"2163131","1 Montag"
"1386440","1 Montag"
"2163405","1 Montag"
"1386680","1 Montag"
"2163486","1 Montag"
"1386756","1 Montag"
"2163600","1 Montag"
"1387366","1 Montag"
"2163755","1 Montag"
"1387923","1 Montag"
"2163860","1 Montag"
"1293803","1 Montag"
"2163939","1 Montag"
"1293804","1 Montag"
"2163940","1 Montag"
"1293831","1 Montag"
"2163964","1 Montag"
"1294209","1 Montag"
"2164157","1 Montag"
"1294533","1 Montag"
"2164223","1 Montag"
"1294544","1 Montag"
"2164283","1 Montag"
"1294704","1 Montag"
"2164355","1 Montag"
"1294955","1 Montag"
"2164422","1 Montag"
"1295003","1 Montag"
"2164736","1 Montag"
"1295529","1 Montag"
"2164766","1 Montag"
"1295728","1 Montag"
"2164788","1 Montag"
"1295858","1 Montag"
"2165343","1 Montag"
"1295861","1 Montag"
"2165358","1 Montag"
"1295872","1 Montag"
"2165615","1 Montag"
"1296126","1 Montag"
"2165790","1 Montag"
"1296279","1 Montag"
"2166005","1 Montag"
"1296379","1 Montag"
"2166154","1 Montag"
"1296445","1 Montag"
"2166244","1 Montag"
"1296478","1 Montag"
"2166350","1 Montag"
"1296488","1 Montag"
"2166364","1 Montag"
"1296558","1 Montag"
"2166373","1 Montag"
"1297057","1 Montag"
"2166398","1 Montag"
"1297082","1 Montag"
"2166439","1 Montag"
"1297145","1 Montag"
"2166450","1 Montag"
"1297358","1 Montag"
"2166515","1 Montag"
"1298117","1 Montag"
"2166523","1 Montag"
"1298217","1 Montag"
"2166601","1 Montag"
"1298503","1 Montag"
"2166707","1 Montag"
"1298799","1 Montag"
"2166760","1 Montag"
"1298907","1 Montag"
"2166790","1 Montag"
"1299162","1 Montag"
"2166898","1 Montag"
"1299178","1 Montag"
"2166909","1 Montag"
"1299180","1 Montag"
"2167019","1 Montag"
"1299350","1 Montag"
"2167049","1 Montag"
"1299354","1 Montag"
"2167188","1 Montag"
"1299756","1 Montag"
"2167241","1 Montag"
"1299856","1 Montag"
"2167253","1 Montag"
"1299911","1 Montag"
"2167261","1 Montag"
"1299962","1 Montag"
"2167290","1 Montag"
"1300136","1 Montag"
"2167675","1 Montag"
"1300137","1 Montag"
"2167685","1 Montag"
"1300218","1 Montag"
"2167761","1 Montag"
"1300228","1 Montag"
"2167770","1 Montag"
"1300406","1 Montag"
"2167864","1 Montag"
"1300429","1 Montag"
"2167880","1 Montag"
"1300438","1 Montag"
"2167911","1 Montag"
"1300453","1 Montag"
"2168019","1 Montag"
"1300562","1 Montag"
"2168032","1 Montag"
"1300638","1 Montag"
"2238642","1 Montag"
"1300697","1 Montag"
"2238811","1 Montag"
"1301140","1 Montag"
"2239340","1 Montag"
"1301144","1 Montag"
"2239469","1 Montag"
"1301179","1 Montag"
"2239710","1 Montag"
"1301199","1 Montag"
"2239854","1 Montag"
"1431908","1 Montag"
"2239919","1 Montag"
"1432185","1 Montag"
"2240070","1 Montag"
"1432321","1 Montag"
"2240250","1 Montag"
"1432448","1 Montag"
"2240339","1 Montag"
"1432590","1 Montag"
"2240388","1 Montag"
"1432735","1 Montag"
"2240409","1 Montag"
"1432826","1 Montag"
"2240464","1 Montag"
"1433195","1 Montag"
"2240479","1 Montag"
"1433335","1 Montag"
"2240482","1 Montag"
"1433352","1 Montag"
"2240522","1 Montag"
"1433541","1 Montag"
"2240523","1 Montag"
"1433603","1 Montag"
"2240565","1 Montag"
"1433625","1 Montag"
"2240600","1 Montag"
"1433713","1 Montag"
"2240613","1 Montag"
"1433775","1 Montag"
"2240707","1 Montag"
"1433786","1 Montag"
"2240709","1 Montag"
"1433890","1 Montag"
"2240772","1 Montag"
"1433900","1 Montag"
"2240811","1 Montag"
"1433926","1 Montag"
"2240837","1 Montag"
"1434229","1 Montag"
"2240889","1 Montag"
"1435056","1 Montag"
"2240973","1 Montag"
"1435147","1 Montag"
"2240986","1 Montag"
"1435176","1 Montag"
"2241283","1 Montag"
"1435455","1 Montag"
"2241370","1 Montag"
"1435533","1 Montag"
"2241380","1 Montag"
"1435576","1 Montag"
"2241435","1 Montag"
"1435577","1 Montag"
"2241516","1 Montag"
"1435872","1 Montag"
"2241527","1 Montag"
"1435906","1 Montag"
"2241697","1 Montag"
"1435912","1 Montag"
"2241729","1 Montag"
"1436067","1 Montag"
"2241913","1 Montag"
"1436401","1 Montag"
"2242024","1 Montag"
"1436579","1 Montag"
"2242038","1 Montag"
"1436647","1 Montag"
"2242189","1 Montag"
"1436653","1 Montag"
"2242349","1 Montag"
"1436790","1 Montag"
"2242352","1 Montag"
"1472455","1 Montag"
"2242504","1 Montag"
"1472655","1 Montag"
"2242575","1 Montag"
"1472668","1 Montag"
"2242613","1 Montag"
"1472813","1 Montag"
"2242656","1 Montag"
"1473210","1 Montag"
"2242689","1 Montag"
"1473251","1 Montag"
"2242693","1 Montag"
"1473581","1 Montag"
"2242870","1 Montag"
"1473677","1 Montag"
"2242937","1 Montag"
"1473769","1 Montag"
"2242939","1 Montag"
"1473892","1 Montag"
"2244240","1 Montag"
"1473945","1 Montag"
"2244370","1 Montag"
"1473950","1 Montag"
"2244455","1 Montag"
"1474007","1 Montag"
"2244515","1 Montag"
"1474054","1 Montag"
"2244721","1 Montag"
"1474095","1 Montag"
"2244964","1 Montag"
"1474152","1 Montag"
"2245005","1 Montag"
"1474399","1 Montag"
"2245107","1 Montag"
"1474457","1 Montag"
"2245143","1 Montag"
"1474611","1 Montag"
"2245180","1 Montag"
"1474915","1 Montag"
"2245334","1 Montag"
"1475028","1 Montag"
"2245562","1 Montag"
"1475061","1 Montag"
"2245642","1 Montag"
"1475173","1 Montag"
"2245711","1 Montag"
"1475252","1 Montag"
"2245776","1 Montag"
"1475504","1 Montag"
"2245795","1 Montag"
"1475641","1 Montag"
"2245854","1 Montag"
"1475756","1 Montag"
"2246044","1 Montag"
"1475802","1 Montag"
"2246347","1 Montag"
"1475914","1 Montag"
"2246602","1 Montag"
"1475916","1 Montag"
"2246605","1 Montag"
"1476170","1 Montag"
"2246616","1 Montag"
"1476214","1 Montag"
"2246766","1 Montag"
"1476531","1 Montag"
"2246787","1 Montag"
"1476576","1 Montag"
"2246803","1 Montag"
"1476616","1 Montag"
"2246805","1 Montag"
"1476748","1 Montag"
"2246825","1 Montag"
"1476861","1 Montag"
"2246832","1 Montag"
"1476870","1 Montag"
"2246907","1 Montag"
"1477032","1 Montag"
"2246918","1 Montag"
"1477106","1 Montag"
"2246943","1 Montag"
"1477207","1 Montag"
"2322899","1 Montag"
"1477349","1 Montag"
"2323001","1 Montag"
"1477569","1 Montag"
"2323196","1 Montag"
"1477673","1 Montag"
"2323346","1 Montag"
"1477835","1 Montag"
"2323710","1 Montag"
"1478112","1 Montag"
"2323807","1 Montag"
"1478123","1 Montag"
"2323896","1 Montag"
"1478361","1 Montag"
"2324025","1 Montag"
"1478393","1 Montag"
"2324244","1 Montag"
"1478394","1 Montag"
"2324657","1 Montag"
"1478436","1 Montag"
"2324839","1 Montag"
"1478443","1 Montag"
"2324850","1 Montag"
"1478478","1 Montag"
"2324981","1 Montag"
"1478578","1 Montag"
"2325103","1 Montag"
"1478692","1 Montag"
"2325414","1 Montag"
"1479033","1 Montag"
"2325744","1 Montag"
"1479113","1 Montag"
"2325831","1 Montag"
"1479170","1 Montag"
"2326020","1 Montag"
"1479224","1 Montag"
"2326246","1 Montag"
"1479281","1 Montag"
"2326411","1 Montag"
"1479454","1 Montag"
"2326599","1 Montag"
"1524474","1 Montag"
"2326605","1 Montag"
"1524497","1 Montag"
"2326869","1 Montag"
"1524885","1 Montag"
"2326935","1 Montag"
"1525008","1 Montag"
"2327175","1 Montag"
"1525068","1 Montag"
"2327328","1 Montag"
"1525108","1 Montag"
"2327555","1 Montag"
"1525543","1 Montag"
"2327663","1 Montag"
"1525916","1 Montag"
"2327798","1 Montag"
"1526038","1 Montag"
"2327899","1 Montag"
"1526061","1 Montag"
"2328032","1 Montag"
"1526189","1 Montag"
"2328324","1 Montag"
"1526215","1 Montag"
"2328336","1 Montag"
"1526266","1 Montag"
"2328362","1 Montag"
"1526341","1 Montag"
"2328410","1 Montag"
"1526911","1 Montag"
"2328507","1 Montag"
"1526972","1 Montag"
"2328658","1 Montag"
"1527015","1 Montag"
"2328667","1 Montag"
"1527072","1 Montag"
"2328861","1 Montag"
"1527088","1 Montag"
"2329239","1 Montag"
"1527122","1 Montag"
"2329355","1 Montag"
"1527244","1 Montag"
"2329680","1 Montag"
"1527502","1 Montag"
"2329998","1 Montag"
"1527642","1 Montag"
"2330379","1 Montag"
"1527712","1 Montag"
"2330486","1 Montag"
"1527756","1 Montag"
"2330740","1 Montag"
"1527771","1 Montag"
"2331308","1 Montag"
"1527785","1 Montag"
"2331589","1 Montag"
"1527898","1 Montag"
"2332030","1 Montag"
"1527914","1 Montag"
"2332850","1 Montag"
"1528115","1 Montag"
"2332939","1 Montag"
"1528262","1 Montag"
"2333115","1 Montag"
"1528421","1 Montag"
"2333327","1 Montag"
"1528929","1 Montag"
"2333363","1 Montag"
"1529298","1 Montag"
"2333563","1 Montag"
"1529306","1 Montag"
"2333738","1 Montag"
"1529311","1 Montag"
"2334453","1 Montag"
"1529668","1 Montag"
"2334566","1 Montag"
"1529800","1 Montag"
"2334593","1 Montag"
"1529861","1 Montag"
"2334675","1 Montag"
"1529948","1 Montag"
"2334722","1 Montag"
"1529953","1 Montag"
"2335253","1 Montag"
"1529965","1 Montag"
