"Fahrt: Name","Ende - Stunde","Ende Wochentag"
"2451155","00","5 Freitag"
"3019112","00","5 Freitag"
"2527015","00","5 Freitag"
"2527073","00","5 Freitag"
"1163271","00","5 Freitag"
"2527018","00","5 Freitag"
"2527084","00","5 Freitag"
"1032495","00","5 Freitag"
"2527021","00","5 Freitag"
"2527110","00","5 Freitag"
"1032523","00","5 Freitag"
"2527043","00","5 Freitag"
"2605730","00","5 Freitag"
"1363900","00","5 Freitag"
"2527132","00","5 Freitag"
"2605772","00","5 Freitag"
"1458335","00","5 Freitag"
"2605725","00","5 Freitag"
"2605793","00","5 Freitag"
"1458336","00","5 Freitag"
"2681733","00","5 Freitag"
"2681795","00","5 Freitag"
"1608131","00","5 Freitag"
"2681803","00","5 Freitag"
"2681869","00","5 Freitag"
"1726847","00","5 Freitag"
"3019191","00","5 Freitag"
"2773200","00","5 Freitag"
"1938321","00","5 Freitag"
"3099392","00","5 Freitag"
"2773296","00","5 Freitag"
"1938387","00","5 Freitag"
"1553446","00","5 Freitag"
"2925167","00","5 Freitag"
