Date,District From Id,District From Name,Count
2019-06-05,110,Winterthur,53
2019-06-05,1907,Lenzburg,32
2019-06-05,2301,Brig,43
2019-06-05,1847,Moesa,884
2019-06-05,2105,Lugano,40379
2019-06-05,1911,Zurzach,21
2019-06-05,106,Horgen,128
2019-06-05,2103,Leventina,1473
2019-06-05,312,Luzern-Land,184
2019-06-05,2011,Arbon,44
2019-06-05,6,Obwalden,120
2019-06-05,1723,Rheintal,270
2019-06-05,2015,Weinfelden,47
2019-06-05,1910,Zofingen,75
2019-06-05,1106,Wasseramt,30
2019-06-05,1402,Reiat,94
2019-06-05,1851,Viamala,229
2019-06-05,9,Zug,296
2019-06-05,109,Uster,61
2019-06-05,2108,Vallemaggia,134
2019-06-05,503,Höfe,48
2019-06-05,105,Hinwil,39
2019-06-05,244,Oberaargau,33
2019-06-05,311,Luzern-Stadt,368
2019-06-05,1846,Maloja,54
2019-06-05,1906,Laufenburg,24
2019-06-05,1727,Toggenburg,24
2019-06-05,1301,Arlesheim,211
2019-06-05,2225,Lausanne,35
2019-06-05,1403,Schaffhausen,93
2019-06-05,12,Basel-Stadt,869
2019-06-05,313,Hochdorf,136
2019-06-05,1107,Lebern,39
2019-06-05,7,Nidwalden,167
2019-06-05,1722,Rorschach,33
2019-06-05,245,Emmental,32
2019-06-05,103,Bülach,198
2019-06-05,1909,Rheinfelden,75
2019-06-05,108,Pfäffikon,31
2019-06-05,2101,Bellinzona,9964
2019-06-05,1726,See-Gaster,53
2019-06-05,505,March,22
2019-06-05,1304,Sissach,83
2019-06-05,2107,Riviera,889
2019-06-05,1905,Kulm,23
2019-06-05,112,Zürich,1135
2019-06-05,1845,Landquart,138
2019-06-05,2012,Frauenfeld,26
2019-06-05,1901,Aarau,95
2019-06-05,1849,Prättigau/Davos,22
2019-06-05,314,Sursee,180
2019-06-05,2013,Kreuzlingen,40
2019-06-05,250,Interlaken-Oberhasli,121
2019-06-05,1844,Imboden,40
2019-06-05,104,Dielsdorf,48
2019-06-05,1108,Olten,73
2019-06-05,1721,St. Gallen,78
2019-06-05,1903,Bremgarten,62
2019-06-05,1101,Gäu,33
2019-06-05,8,Glarus,25
2019-06-05,246,Bern-Mittelland,110
2019-06-05,1908,Muri,21
2019-06-05,2102,Blenio,303
2019-06-05,315,Willisau,48
2019-06-05,1725,Sarganserland,145
2019-06-05,1303,Liestal,193
2019-06-05,107,Meilen,81
2019-06-05,242,Biel/Bienne,53
2019-06-05,4,Uri,1220
2019-06-05,506,Schwyz,282
2019-06-05,1004,La Sarine,21
2019-06-05,1902,Baden,101
2019-06-05,501,Einsiedeln,21
2019-06-05,111,Dietikon,79
2019-06-05,1848,Plessur,76
2019-06-05,2106,Mendrisio,27748
2019-06-05,-1,Other,480
2019-06-06,1501,Hinterland,23
2019-06-06,101,Affoltern,79
2019-06-06,1105,Gösgen,24
2019-06-06,1850,Surselva,51
2019-06-06,2104,Locarno,4842
2019-06-06,2014,Münchwilen,38
2019-06-06,1728,Wil,47
2019-06-06,247,Thun,30
2019-06-06,1305,Waldenburg,52
2019-06-06,24,Neuchâtel,88
2019-06-06,1724,Werdenberg,911
2019-06-06,1904,Brugg,36
2019-06-06,25,Genève,79
2019-06-06,504,Küssnacht (SZ),43
2019-06-06,110,Winterthur,170
2019-06-06,1907,Lenzburg,85
2019-06-06,2301,Brig,34
2019-06-06,1847,Moesa,962
2019-06-06,2105,Lugano,39042
2019-06-06,1911,Zurzach,52
2019-06-06,106,Horgen,196
2019-06-06,2103,Leventina,1702
2019-06-06,312,Luzern-Land,256
2019-06-06,2011,Arbon,72
2019-06-06,6,Obwalden,135
2019-06-06,102,Andelfingen,34
2019-06-06,1723,Rheintal,331
2019-06-06,2015,Weinfelden,42
2019-06-06,1910,Zofingen,156
2019-06-06,1106,Wasseramt,36
2019-06-06,1402,Reiat,171
2019-06-06,1851,Viamala,309
2019-06-06,9,Zug,482
2019-06-06,109,Uster,139
2019-06-06,2108,Vallemaggia,162
2019-06-06,503,Höfe,84
2019-06-06,105,Hinwil,84
2019-06-06,244,Oberaargau,59
2019-06-06,311,Luzern-Stadt,447
2019-06-06,1846,Maloja,65
2019-06-06,1906,Laufenburg,49
2019-06-06,1301,Arlesheim,258
2019-06-06,2225,Lausanne,31
2019-06-06,1403,Schaffhausen,219
2019-06-06,12,Basel-Stadt,1318
2019-06-06,313,Hochdorf,184
2019-06-06,1107,Lebern,46
2019-06-06,7,Nidwalden,151
2019-06-06,1722,Rorschach,53
2019-06-06,245,Emmental,55
2019-06-06,103,Bülach,319
2019-06-06,1909,Rheinfelden,85
2019-06-06,108,Pfäffikon,47
2019-06-06,1841,Albula,21
2019-06-06,2101,Bellinzona,10395
2019-06-06,1726,See-Gaster,81
2019-06-06,505,March,47
2019-06-06,1304,Sissach,103
2019-06-06,2107,Riviera,767
2019-06-06,1905,Kulm,25
2019-06-06,112,Zürich,1786
2019-06-06,1845,Landquart,145
2019-06-06,2012,Frauenfeld,43
2019-06-06,1901,Aarau,98
2019-06-06,1849,Prättigau/Davos,26
2019-06-06,314,Sursee,282
2019-06-06,2013,Kreuzlingen,102
2019-06-06,250,Interlaken-Oberhasli,173
2019-06-06,1844,Imboden,58
2019-06-06,104,Dielsdorf,80
2019-06-06,1108,Olten,139
2019-06-06,1721,St. Gallen,103
