Date,Canton From Id,Canton From Name,Count
2019-06-18,20,Thurgau,128
2019-06-18,1,Zürich,1808
2019-06-18,6,Obwalden,126
2019-06-18,21,Ticino,86952
2019-06-18,9,Zug,338
2019-06-18,13,Basel-Landschaft,430
2019-06-18,2,Bern,450
2019-06-18,17,St. Gallen,925
2019-06-18,22,Vaud,42
2019-06-18,12,Basel-Stadt,878
2019-06-18,7,Nidwalden,86
2019-06-18,3,Luzern,819
2019-06-18,18,Graubünden,1485
2019-06-18,11,Solothurn,204
2019-06-18,23,Valais,115
2019-06-18,8,Glarus,22
2019-06-18,19,Aargau,536
2019-06-18,4,Uri,1139
2019-06-18,15,Appenzell Ausserrhoden,23
2019-06-18,-1,Other,38
2019-06-19,5,Schwyz,914
2019-06-19,10,Fribourg,84
2019-06-19,24,Neuchâtel,46
2019-06-19,25,Genève,64
2019-06-19,14,Schaffhausen,433
2019-06-19,20,Thurgau,180
2019-06-19,1,Zürich,2215
2019-06-19,6,Obwalden,194
2019-06-19,21,Ticino,90417
2019-06-19,9,Zug,725
2019-06-19,13,Basel-Landschaft,743
2019-06-19,2,Bern,519
2019-06-19,17,St. Gallen,1819
2019-06-19,22,Vaud,74
2019-06-19,12,Basel-Stadt,1188
2019-06-19,7,Nidwalden,358
2019-06-19,3,Luzern,1709
2019-06-19,18,Graubünden,1842
2019-06-19,11,Solothurn,377
2019-06-19,26,Jura,31
2019-06-19,23,Valais,125
2019-06-19,8,Glarus,22
2019-06-19,19,Aargau,956
2019-06-19,4,Uri,1134
2019-06-19,15,Appenzell Ausserrhoden,35
2019-06-19,-1,Other,25
2019-06-20,5,Schwyz,968
2019-06-20,10,Fribourg,83
2019-06-20,24,Neuchâtel,36
2019-06-20,25,Genève,75
2019-06-20,14,Schaffhausen,925
2019-06-20,20,Thurgau,247
2019-06-20,1,Zürich,3041
2019-06-20,6,Obwalden,174
2019-06-20,21,Ticino,79753
2019-06-20,9,Zug,737
2019-06-20,13,Basel-Landschaft,867
2019-06-20,2,Bern,521
2019-06-20,17,St. Gallen,2448
2019-06-20,22,Vaud,74
2019-06-20,12,Basel-Stadt,1535
2019-06-20,7,Nidwalden,291
2019-06-20,3,Luzern,1894
2019-06-20,18,Graubünden,2641
2019-06-20,11,Solothurn,393
2019-06-20,26,Jura,36
2019-06-20,23,Valais,233
2019-06-20,8,Glarus,69
2019-06-20,19,Aargau,1014
2019-06-20,4,Uri,2590
2019-06-20,15,Appenzell Ausserrhoden,32
2019-06-20,-1,Other,24
2019-06-21,5,Schwyz,885
2019-06-21,10,Fribourg,124
2019-06-21,24,Neuchâtel,53
2019-06-21,25,Genève,104
2019-06-21,14,Schaffhausen,337
2019-06-21,20,Thurgau,258
2019-06-21,1,Zürich,4018
2019-06-21,6,Obwalden,127
2019-06-21,21,Ticino,94102
2019-06-21,9,Zug,569
2019-06-21,13,Basel-Landschaft,784
2019-06-21,2,Bern,772
2019-06-21,17,St. Gallen,1706
2019-06-21,22,Vaud,123
2019-06-21,12,Basel-Stadt,1505
2019-06-21,7,Nidwalden,187
2019-06-21,3,Luzern,1329
2019-06-21,18,Graubünden,2283
2019-06-21,11,Solothurn,368
2019-06-21,26,Jura,28
2019-06-21,23,Valais,216
2019-06-21,8,Glarus,64
2019-06-21,19,Aargau,942
2019-06-21,4,Uri,1422
2019-06-21,15,Appenzell Ausserrhoden,31
2019-06-21,-1,Other,17
2019-06-22,5,Schwyz,707
2019-06-22,10,Fribourg,62
2019-06-22,24,Neuchâtel,36
2019-06-22,25,Genève,49
2019-06-22,14,Schaffhausen,420
2019-06-22,20,Thurgau,301
2019-06-22,1,Zürich,3068
2019-06-22,6,Obwalden,144
2019-06-22,21,Ticino,98091
2019-06-22,9,Zug,352
2019-06-22,13,Basel-Landschaft,904
2019-06-22,2,Bern,633
2019-06-22,17,St. Gallen,2316
2019-06-22,22,Vaud,71
2019-06-22,12,Basel-Stadt,1725
2019-06-22,7,Nidwalden,247
2019-06-22,3,Luzern,1235
2019-06-22,18,Graubünden,2496
2019-06-22,16,Appenzell Innerrhoden,22
2019-06-22,11,Solothurn,392
2019-06-22,26,Jura,23
2019-06-22,23,Valais,214
2019-06-22,8,Glarus,54
2019-06-22,19,Aargau,1002
2019-06-22,4,Uri,1853
2019-06-22,15,Appenzell Ausserrhoden,44
2019-06-22,-1,Other,11
2019-06-23,5,Schwyz,531
2019-06-23,10,Fribourg,76
2019-06-23,24,Neuchâtel,41
2019-06-23,25,Genève,40
2019-06-23,14,Schaffhausen,324
2019-06-23,20,Thurgau,204
2019-06-23,1,Zürich,2538
2019-06-23,6,Obwalden,159
2019-06-23,21,Ticino,101147
2019-06-23,9,Zug,352
2019-06-23,13,Basel-Landschaft,746
2019-06-23,2,Bern,651
2019-06-23,17,St. Gallen,1623
2019-06-23,22,Vaud,70
