Date,PLZ From Id,PLZ From Name,Count
2019-07-07,8004,Zürich,47
2019-07-07,6982,Agno,2395
2019-07-07,6950,Capriasca,351
2019-07-07,6922,Morcote,660
2019-07-07,6637,Sonogno,28
2019-07-07,6454,Flüelen,48
2019-07-07,6546,Calanca,21
2019-07-07,6598,Tenero-Contra,218
2019-07-07,6916,Grancia,418
2019-07-07,6959,Lugano,311
2019-07-07,6927,Collina d'Oro,172
2019-07-07,6774,Dalpe,105
2019-07-07,6705,Riviera,24
2019-07-07,6937,Alto Malcantone,111
2019-07-07,6532,Arbedo-Castione,148
2019-07-07,6991,Neggio,104
2019-07-07,6636,Frasco,48
2019-07-07,6525,Bellinzona,35
2019-07-07,6742,Pollegio,33
2019-07-07,6572,Gambarogno,89
2019-07-07,6613,Ronco sopra Ascona,32
2019-07-07,6500,Bellinzona,980
2019-07-07,6815,Melide,1646
2019-07-07,6866,Mendrisio,52
2019-07-07,1933,Sembrancher Vollèges,21
2019-07-07,6460,Altdorf (UR),58
2019-07-07,6834,Morbio Inferiore,320
2019-07-07,7504,Pontresina,21
2019-07-07,6004,Luzern,76
2019-07-07,6710,Biasca,210
2019-07-07,6989,Croglio,236
2019-07-07,6645,Brione sopra Minusio,60
2019-07-07,6414,Arth,49
2019-07-07,6678,Maggia,23
2019-07-07,6817,Maroggia,486
2019-07-07,8032,Zürich,28
2019-07-07,6802,Monteceneri,832
2019-07-07,6956,Capriasca,120
2019-07-07,6574,Gambarogno,25
2019-07-07,6930,Bedano,645
2019-07-07,6816,Bissone,1212
2019-07-07,6614,Brissago,58
2019-07-07,6838,Breggia,46
2019-07-07,6672,Avegno Gordevio,28
2019-07-07,6542,Buseno,23
2019-07-07,4052,Basel,80
2019-07-07,6517,Arbedo-Castione,59
2019-07-07,6853,Mendrisio,365
2019-07-07,6806,Monteceneri,184
2019-07-07,6821,Rovio,77
2019-07-07,6998,Monteggio,594
2019-07-07,6875,Castel San Pietro,35
2019-07-07,3988,Obergoms,44
2019-07-07,6472,Erstfeld,30
2019-07-07,6945,Origlio,853
2019-07-07,6934,Bioggio,1548
2019-07-07,6921,Vico Morcote,377
2019-07-07,6826,Riva San Vitale,474
2019-07-07,6596,Gordola,192
2019-07-07,6981,Bedigliora Croglio Curio,155
2019-07-07,6912,Lugano,132
2019-07-07,6513,Bellinzona,63
2019-07-07,4132,Muttenz,40
2019-07-07,6653,Terre di Pedemonte,25
2019-07-07,6994,Aranno,136
2019-07-07,6825,Mendrisio,314
2019-07-07,4057,Basel,42
2019-07-07,6633,Lavertezzo,79
2019-07-07,4133,Pratteln,26
2019-07-07,6803,Monteceneri,102
2019-07-07,6775,Quinto,99
2019-07-07,6917,Lugano,588
2019-07-07,6467,Schattdorf,116
2019-07-07,6960,Capriasca,54
2019-07-07,6992,Bioggio Vernate,133
2019-07-07,6928,Manno,102
2019-07-07,6850,Mendrisio,4394
2019-07-07,6965,Lugano,336
2019-07-07,6721,Acquarossa Serravalle,45
2019-07-07,7412,Scharans,30
2019-07-07,6938,Alto Malcantone,108
2019-07-07,6980,Croglio,69
2019-07-07,6674,Maggia,33
2019-07-07,6743,Bodio,26
2019-07-07,6814,Cadempino Lamone,609
2019-07-07,6818,Melano,455
2019-07-07,6953,Capriasca,980
2019-07-07,6003,Luzern,52
2019-07-07,6023,Rothenburg,28
2019-07-07,6913,Lugano,46
2019-07-07,6516,Cugnasco-Gerra,45
2019-07-07,9470,Buchs (SG) Grabs,57
2019-07-07,6854,Stabio,67
2019-07-07,6484,Wassen,165
2019-07-07,6703,Riviera,47
2019-07-07,6997,Sessa,79
2019-07-07,6822,Arogno,595
2019-07-07,7744,Brusio,23
2019-07-07,6563,Mesocco,75
2019-07-07,6490,Andermatt,33
2019-07-07,6600,Locarno Muralto,469
2019-07-07,6535,Roveredo (GR),98
2019-07-07,9466,Sennwald,25
2019-07-07,8400,Winterthur,24
2019-07-07,6558,Lostallo,43
2019-07-07,6612,Ascona,279
2019-07-07,6929,Gravesano,288
2019-07-07,6537,Grono,23
2019-07-07,6503,Bellinzona,147
2019-07-07,6874,Castel San Pietro,89
2019-07-07,6807,Torricella-Taverne,822
2019-07-07,6595,Lavertezzo,51
2019-07-07,6864,Mendrisio,98
2019-07-07,6718,Blenio,195
2019-07-07,6984,Pura,264
2019-07-07,6810,Isone,57
2019-07-07,6575,Gambarogno,23
2019-07-07,4056,Basel,83
2019-07-07,6632,Vogorno,26
2019-07-07,6839,Breggia,36
2019-07-07,6722,Acquarossa,37
2019-07-07,-1,Other,3452
2019-07-08,6979,Lugano,55
2019-07-08,6855,Stabio,2376
2019-07-08,6512,Bellinzona,1044
2019-07-08,6986,Curio Miglieglia Novaggio,472
2019-07-08,6954,Capriasca,573
2019-07-08,6527,Riviera,86
2019-07-08,6808,Torricella-Taverne,198
2019-07-08,8005,Zürich,173
2019-07-08,6918,Lugano,625
2019-07-08,6883,Novazzano,1212
2019-07-08,6776,Quinto,160
2019-07-08,6830,Chiasso,3211
2019-07-08,9469,Sennwald,23
2019-07-08,6764,Faido,35
2019-07-08,6939,Alto Malcantone,277
2019-07-08,6515,Bellinzona,59
2019-07-08,4058,Basel,98
2019-07-08,6804,Monteceneri,348
2019-07-08,6877,Coldrerio,1301
2019-07-08,6914,Lugano,295
2019-07-08,6872,Mendrisio,26
2019-07-08,6987,Caslano,2918
2019-07-08,6968,Lugano,168
2019-07-08,6713,Serravalle,73
2019-07-08,6873,Castel San Pietro,58
2019-07-08,6951,Lugano,76
2019-07-08,6599,Cadenazzo,76
2019-07-08,6781,Bedretto,50
2019-07-08,6936,Cademario,74
2019-07-08,6828,Balerna,1679
2019-07-08,7500,St. Moritz,57
2019-07-08,6594,Gambarogno,231
2019-07-08,6983,Magliaso,1410
2019-07-08,6670,Avegno Gordevio,47
2019-07-08,6523,Bellinzona,42
2019-07-08,6410,Arth Gersau,139
2019-07-08,6745,Giornico,48
2019-07-08,6534,San Vittore,104
2019-07-08,6300,Zug,43
2019-07-08,6823,Arogno,299
2019-07-08,6717,Blenio,25
2019-07-08,8050,Zürich,25
2019-07-08,6809,Comunanza Cadenazzo/Montecener,147
2019-07-08,6648,Minusio,335
2019-07-08,8001,Zürich,130
2019-07-08,6947,Capriasca,298
2019-07-08,6772,Prato (Leventina),26
2019-07-08,6702,Bellinzona,136
2019-07-08,6863,Mendrisio,45
2019-07-08,6616,Losone,223
2019-07-08,6760,Faido,99
2019-07-08,8302,Kloten,66
2019-07-08,6865,Mendrisio,88
2019-07-08,7078,Vaz/Obervaz,22
2019-07-08,6652,Terre di Pedemonte,44
2019-07-08,6343,Risch,34
2019-07-08,6605,Locarno,24
2019-07-08,6528,Bellinzona,637
2019-07-08,6990,Agno,399
2019-07-08,6565,Mesocco,122
2019-07-08,8910,Affoltern am Albis,21
2019-07-08,6926,Collina d'Oro,972
2019-07-08,6852,Mendrisio,488
2019-07-08,6556,Grono,25
2019-07-08,6833,Vacallo,933
2019-07-08,6677,Maggia,50
2019-07-08,6995,Croglio,292
2019-07-08,6955,Capriasca,891
2019-07-08,6958,Capriasca,550
2019-07-08,6919,Collina d'Oro,126
2019-07-08,6780,Airolo,241
2019-07-08,6862,Mendrisio,2920
2019-07-08,6518,Bellinzona,93
2019-07-08,6967,Lugano,80
2019-07-08,6593,Cadenazzo,700
2019-07-08,6763,Faido,43
2019-07-08,6573,Gambarogno,68
2019-07-08,6837,Breggia,32
2019-07-08,6978,Lugano,264
2019-07-08,6946,Ponte Capriasca,1099
2019-07-08,6935,Bioggio,105
2019-07-08,6827,Brusino Arsizio,105
2019-07-08,6805,Mezzovico-Vira,1262
2019-07-08,6005,Horw Luzern,21
2019-07-08,6988,Ponte Tresa,862
2019-07-08,6514,Bellinzona,236
2019-07-08,6533,Lumino,129
2019-07-08,6716,Acquarossa,39
2019-07-08,6592,Sant'Antonino,963
2019-07-08,8004,Zürich,81
2019-07-08,6982,Agno,3746
2019-07-08,6950,Capriasca,625
2019-07-08,6922,Morcote,621
2019-07-08,7742,Poschiavo,22
2019-07-08,6598,Tenero-Contra,176
2019-07-08,6916,Grancia,1576
2019-07-08,6959,Lugano,492
2019-07-08,6927,Collina d'Oro,204
2019-07-08,6774,Dalpe,31
2019-07-08,6705,Riviera,50
2019-07-08,6937,Alto Malcantone,155
2019-07-08,6532,Arbedo-Castione,486
2019-07-08,6991,Neggio,140
2019-07-08,6525,Bellinzona,73
2019-07-08,6742,Pollegio,53
2019-07-08,6572,Gambarogno,206
2019-07-08,6613,Ronco sopra Ascona,36
2019-07-08,7077,Vaz/Obervaz,38
2019-07-08,6500,Bellinzona,2527
2019-07-08,6815,Melide,1861
2019-07-08,6866,Mendrisio,37
2019-07-08,6834,Morbio Inferiore,636
2019-07-08,7504,Pontresina,34
2019-07-08,6004,Luzern,36
2019-07-08,8620,Wetzikon (ZH),27
2019-07-08,6710,Biasca,453
2019-07-08,6989,Croglio,269
