Date,Municipality From Id,Municipality From Name,Count
2019-06-28,3203,St. Gallen,36
2019-06-28,3822,Mesocco,159
2019-06-28,5586,Lausanne,25
2019-06-28,5251,Coldrerio,1344
2019-06-28,5324,Avegno Gordevio,90
2019-06-28,1093,Neuenkirch,23
2019-06-28,5151,Bioggio,4120
2019-06-28,5061,Airolo,400
2019-06-28,5236,Collina d'Oro,1470
2019-06-28,5219,Rovio,136
2019-06-28,62,Kloten,90
2019-06-28,3901,Chur,60
2019-06-28,5073,Giornico,86
2019-06-28,-1,Other,2432
2019-06-29,5260,Novazzano,583
2019-06-29,5131,Tenero-Contra,249
2019-06-29,5141,Agno,2606
2019-06-29,5242,Balerna,901
2019-06-29,5237,Alto Malcantone,422
2019-06-29,5120,Muralto,124
2019-06-29,5257,Morbio Inferiore,325
2019-06-29,5161,Cademario,148
2019-06-29,5178,Croglio,548
2019-06-29,5192,Lugano,4279
2019-06-29,5227,Torricella-Taverne,1202
2019-06-29,5195,Maroggia,517
2019-06-29,5269,Breggia,111
2019-06-29,3821,Lostallo,43
2019-06-29,5064,Bodio,40
2019-06-29,5160,Brusino Arsizio,77
2019-06-29,5108,Gordola,129
2019-06-29,5199,Mezzovico-Vira,424
2019-06-29,5193,Magliaso,912
2019-06-29,5397,Centovalli,63
2019-06-29,5323,Lavizzara,25
2019-06-29,3835,San Vittore,55
2019-06-29,1362,Arth,173
2019-06-29,5091,Ascona,386
2019-06-29,5077,Pollegio,37
2019-06-29,261,Zürich,520
2019-06-29,5135,Vogorno,32
2019-06-29,1206,Erstfeld,24
2019-06-29,5017,Sant'Antonino,218
2019-06-29,5281,Biasca,260
2019-06-29,5206,Neggio,112
2019-06-29,5049,Blenio,268
2019-06-29,5002,Bellinzona,2340
2019-06-29,5266,Stabio,1647
2019-06-29,5396,Terre di Pedemonte,74
2019-06-29,3271,Buchs (SG),66
2019-06-29,5113,Locarno,578
2019-06-29,5189,Lamone,786
2019-06-29,3831,Cama,35
2019-06-29,5238,Monteceneri,1436
2019-06-29,5233,Vico Morcote,382
2019-06-29,5181,Curio,216
2019-06-29,5263,Riva San Vitale,594
2019-06-29,5213,Ponte Tresa,2784
2019-06-29,1207,Flüelen,38
2019-06-29,5063,Bedretto,90
2019-06-29,5317,Maggia,79
2019-06-29,5149,Bedigliora,187
2019-06-29,3787,St. Moritz,67
2019-06-29,2766,Birsfelden,22
2019-06-29,5112,Lavertezzo,115
2019-06-29,3834,Roveredo (GR),113
2019-06-29,5310,Cevio,43
2019-06-29,1202,Andermatt,54
2019-06-29,5198,Melide,1909
2019-06-29,5249,Castel San Pietro,286
2019-06-29,5138,Cugnasco-Gerra,74
2019-06-29,5230,Vernate,62
2019-06-29,5048,Acquarossa,72
2019-06-29,5095,Brione (Verzasca),56
2019-06-29,3274,Sennwald,52
2019-06-29,191,Dübendorf,22
2019-06-29,5050,Serravalle,78
2019-06-29,5097,Brissago,53
2019-06-29,1701,Baar,28
2019-06-29,1707,Risch,38
2019-06-29,5118,Minusio,247
2019-06-29,5148,Bedano,783
2019-06-29,5207,Novaggio,70
2019-06-29,3832,Grono,77
2019-06-29,5071,Dalpe,54
2019-06-29,5143,Aranno,199
2019-06-29,5212,Ponte Capriasca,724
2019-06-29,3551,Brusio,35
2019-06-29,5222,Sessa,77
2019-06-29,5202,Monteggio,563
2019-06-29,1061,Luzern,128
2019-06-29,2770,Muttenz,41
2019-06-29,5254,Mendrisio,7167
2019-06-29,1213,Schattdorf,87
2019-06-29,5216,Pura,379
2019-06-29,5197,Melano,501
2019-06-29,1208,Göschenen,35
2019-06-29,6076,Obergoms,65
2019-06-29,5003,Cadenazzo,306
2019-06-29,5250,Chiasso,2940
2019-06-29,5125,Ronco sopra Ascona,26
2019-06-29,5171,Caslano,2204
2019-06-29,5079,Quinto,311
