Date,Canton To Id,Canton To Name,Count
2019-06-11,7,Nidwalden,154
2019-06-11,3,Luzern,1079
2019-06-11,18,Graubünden,1884
2019-06-11,11,Solothurn,288
2019-06-11,26,Jura,35
2019-06-11,23,Valais,97
2019-06-11,8,Glarus,90
2019-06-11,19,Aargau,730
2019-06-11,4,Uri,1242
2019-06-11,15,Appenzell Ausserrhoden,30
2019-06-11,-1,Other,30
2019-06-12,5,Schwyz,400
2019-06-12,10,Fribourg,65
2019-06-12,24,Neuchâtel,40
2019-06-12,25,Genève,65
2019-06-12,14,Schaffhausen,229
2019-06-12,20,Thurgau,140
2019-06-12,1,Zürich,2042
2019-06-12,6,Obwalden,148
2019-06-12,21,Ticino,83374
2019-06-12,9,Zug,329
2019-06-12,13,Basel-Landschaft,489
2019-06-12,2,Bern,518
2019-06-12,17,St. Gallen,666
2019-06-12,22,Vaud,90
2019-06-12,12,Basel-Stadt,1086
2019-06-12,7,Nidwalden,180
2019-06-12,3,Luzern,1173
2019-06-12,18,Graubünden,1173
2019-06-12,11,Solothurn,214
2019-06-12,23,Valais,87
2019-06-12,8,Glarus,44
2019-06-12,19,Aargau,795
2019-06-12,4,Uri,1150
2019-06-12,-1,Other,52
2019-06-13,5,Schwyz,378
2019-06-13,10,Fribourg,46
2019-06-13,24,Neuchâtel,35
2019-06-13,25,Genève,66
2019-06-13,14,Schaffhausen,207
2019-06-13,20,Thurgau,209
2019-06-13,1,Zürich,2206
2019-06-13,6,Obwalden,113
2019-06-13,21,Ticino,91804
2019-06-13,9,Zug,246
2019-06-13,13,Basel-Landschaft,546
2019-06-13,2,Bern,507
2019-06-13,17,St. Gallen,1324
2019-06-13,22,Vaud,86
2019-06-13,12,Basel-Stadt,1096
2019-06-13,7,Nidwalden,179
2019-06-13,3,Luzern,1100
2019-06-13,18,Graubünden,1622
2019-06-13,16,Appenzell Innerrhoden,21
2019-06-13,11,Solothurn,310
2019-06-13,23,Valais,103
2019-06-13,8,Glarus,25
2019-06-13,19,Aargau,657
2019-06-13,4,Uri,1180
2019-06-13,15,Appenzell Ausserrhoden,38
2019-06-13,-1,Other,31
2019-06-14,5,Schwyz,366
2019-06-14,10,Fribourg,64
2019-06-14,24,Neuchâtel,42
2019-06-14,25,Genève,45
2019-06-14,14,Schaffhausen,516
2019-06-14,20,Thurgau,304
2019-06-14,1,Zürich,2714
2019-06-14,6,Obwalden,152
2019-06-14,21,Ticino,103572
2019-06-14,9,Zug,303
2019-06-14,13,Basel-Landschaft,854
2019-06-14,2,Bern,763
2019-06-14,17,St. Gallen,1895
2019-06-14,22,Vaud,121
2019-06-14,12,Basel-Stadt,1692
2019-06-14,7,Nidwalden,315
2019-06-14,3,Luzern,1573
2019-06-14,18,Graubünden,2055
2019-06-14,11,Solothurn,358
2019-06-14,26,Jura,26
2019-06-14,23,Valais,132
2019-06-14,8,Glarus,33
2019-06-14,19,Aargau,1081
2019-06-14,4,Uri,1917
2019-06-14,15,Appenzell Ausserrhoden,37
2019-06-14,-1,Other,25
2019-06-15,5,Schwyz,495
2019-06-15,10,Fribourg,54
2019-06-15,24,Neuchâtel,21
2019-06-15,25,Genève,21
2019-06-15,14,Schaffhausen,976
2019-06-15,20,Thurgau,724
2019-06-15,1,Zürich,3031
2019-06-15,6,Obwalden,121
2019-06-15,21,Ticino,104150
2019-06-15,9,Zug,362
2019-06-15,13,Basel-Landschaft,1381
2019-06-15,2,Bern,570
2019-06-15,17,St. Gallen,4137
2019-06-15,22,Vaud,64
2019-06-15,12,Basel-Stadt,2381
2019-06-15,7,Nidwalden,239
2019-06-15,3,Luzern,1412
2019-06-15,18,Graubünden,3101
2019-06-15,16,Appenzell Innerrhoden,42
2019-06-15,11,Solothurn,311
2019-06-15,26,Jura,26
2019-06-15,23,Valais,183
2019-06-15,8,Glarus,60
2019-06-15,19,Aargau,1158
2019-06-15,4,Uri,1592
2019-06-15,15,Appenzell Ausserrhoden,57
2019-06-15,-1,Other,15
2019-06-16,5,Schwyz,696
2019-06-16,10,Fribourg,103
2019-06-16,24,Neuchâtel,40
2019-06-16,25,Genève,88
2019-06-16,14,Schaffhausen,777
2019-06-16,20,Thurgau,579
2019-06-16,1,Zürich,4565
2019-06-16,6,Obwalden,153
2019-06-16,21,Ticino,86916
2019-06-16,9,Zug,568
2019-06-16,13,Basel-Landschaft,1299
2019-06-16,2,Bern,896
2019-06-16,17,St. Gallen,3218
2019-06-16,22,Vaud,166
2019-06-16,12,Basel-Stadt,2191
2019-06-16,7,Nidwalden,299
2019-06-16,3,Luzern,1824
2019-06-16,18,Graubünden,3264
2019-06-16,16,Appenzell Innerrhoden,49
2019-06-16,11,Solothurn,421
2019-06-16,26,Jura,24
2019-06-16,23,Valais,298
2019-06-16,8,Glarus,101
2019-06-16,19,Aargau,1256
2019-06-16,4,Uri,2227
2019-06-16,15,Appenzell Ausserrhoden,92
2019-06-16,-1,Other,12
2019-06-17,5,Schwyz,437
2019-06-17,10,Fribourg,64
2019-06-17,24,Neuchâtel,56
2019-06-17,25,Genève,111
2019-06-17,14,Schaffhausen,396
2019-06-17,20,Thurgau,223
2019-06-17,1,Zürich,2936
2019-06-17,6,Obwalden,174
2019-06-17,21,Ticino,84153
2019-06-17,9,Zug,452
2019-06-17,13,Basel-Landschaft,710
2019-06-17,2,Bern,597
2019-06-17,17,St. Gallen,1557
2019-06-17,22,Vaud,120
2019-06-17,12,Basel-Stadt,1329
2019-06-17,7,Nidwalden,205
2019-06-17,3,Luzern,1480
2019-06-17,18,Graubünden,1841
2019-06-17,11,Solothurn,336
2019-06-17,26,Jura,23
2019-06-17,23,Valais,112
2019-06-17,8,Glarus,50
2019-06-17,19,Aargau,890
2019-06-17,4,Uri,1473
2019-06-17,15,Appenzell Ausserrhoden,44
2019-06-17,-1,Other,23
2019-06-18,5,Schwyz,334
2019-06-18,10,Fribourg,49
2019-06-18,24,Neuchâtel,34
2019-06-18,25,Genève,51
2019-06-18,14,Schaffhausen,325
2019-06-18,20,Thurgau,131
2019-06-18,1,Zürich,1903
2019-06-18,6,Obwalden,208
2019-06-18,21,Ticino,85409
2019-06-18,9,Zug,337
2019-06-18,13,Basel-Landschaft,507
2019-06-18,2,Bern,482
2019-06-18,17,St. Gallen,1266
2019-06-18,22,Vaud,74
2019-06-18,12,Basel-Stadt,1056
2019-06-18,7,Nidwalden,167
2019-06-18,3,Luzern,1167
2019-06-18,18,Graubünden,1578
2019-06-18,11,Solothurn,237
2019-06-18,26,Jura,22
2019-06-18,23,Valais,128
2019-06-18,8,Glarus,30
2019-06-18,19,Aargau,603
2019-06-18,4,Uri,1235
2019-06-18,15,Appenzell Ausserrhoden,29
2019-06-18,-1,Other,27
2019-06-19,5,Schwyz,306
2019-06-19,10,Fribourg,44
2019-06-19,24,Neuchâtel,37
2019-06-19,25,Genève,44
2019-06-19,14,Schaffhausen,436
2019-06-19,20,Thurgau,172
2019-06-19,1,Zürich,2365
2019-06-19,6,Obwalden,416
2019-06-19,21,Ticino,91541
2019-06-19,9,Zug,273
2019-06-19,13,Basel-Landschaft,579
2019-06-19,2,Bern,522
2019-06-19,17,St. Gallen,1808
2019-06-19,22,Vaud,83
2019-06-19,12,Basel-Stadt,1262
2019-06-19,7,Nidwalden,244
2019-06-19,3,Luzern,1486
2019-06-19,18,Graubünden,1857
2019-06-19,16,Appenzell Innerrhoden,25
2019-06-19,11,Solothurn,287
2019-06-19,23,Valais,90
2019-06-19,8,Glarus,29
2019-06-19,19,Aargau,805
2019-06-19,4,Uri,1478
2019-06-19,-1,Other,40
2019-06-20,5,Schwyz,427
2019-06-20,10,Fribourg,54
2019-06-20,24,Neuchâtel,38
2019-06-20,25,Genève,64
2019-06-20,14,Schaffhausen,686
2019-06-20,20,Thurgau,270
2019-06-20,1,Zürich,2762
2019-06-20,6,Obwalden,543
2019-06-20,21,Ticino,82835
2019-06-20,9,Zug,301
2019-06-20,13,Basel-Landschaft,790
2019-06-20,2,Bern,454
2019-06-20,17,St. Gallen,2577
2019-06-20,22,Vaud,94
2019-06-20,12,Basel-Stadt,1520
2019-06-20,7,Nidwalden,432
2019-06-20,3,Luzern,1441
2019-06-20,18,Graubünden,2315
2019-06-20,16,Appenzell Innerrhoden,22
2019-06-20,11,Solothurn,261
2019-06-20,26,Jura,22
2019-06-20,23,Valais,189
2019-06-20,8,Glarus,33
2019-06-20,19,Aargau,884
2019-06-20,4,Uri,1644
2019-06-20,15,Appenzell Ausserrhoden,30
2019-06-20,-1,Other,13
2019-06-21,5,Schwyz,403
2019-06-21,10,Fribourg,69
2019-06-21,24,Neuchâtel,35
2019-06-21,25,Genève,70
2019-06-21,14,Schaffhausen,928
2019-06-21,20,Thurgau,542
2019-06-21,1,Zürich,2769
2019-06-21,6,Obwalden,620
2019-06-21,21,Ticino,90511
2019-06-21,9,Zug,312
2019-06-21,13,Basel-Landschaft,1148
2019-06-21,2,Bern,480
2019-06-21,17,St. Gallen,4003
2019-06-21,22,Vaud,71
2019-06-21,12,Basel-Stadt,1723
2019-06-21,7,Nidwalden,222
2019-06-21,3,Luzern,1485
2019-06-21,18,Graubünden,3383
2019-06-21,16,Appenzell Innerrhoden,27
2019-06-21,11,Solothurn,335
2019-06-21,26,Jura,30
2019-06-21,23,Valais,161
2019-06-21,8,Glarus,31
2019-06-21,19,Aargau,951
2019-06-21,4,Uri,2000
2019-06-21,15,Appenzell Ausserrhoden,35
2019-06-21,-1,Other,10
2019-06-22,5,Schwyz,471
2019-06-22,10,Fribourg,77
2019-06-22,24,Neuchâtel,21
2019-06-22,25,Genève,27
2019-06-22,14,Schaffhausen,1417
2019-06-22,20,Thurgau,964
2019-06-22,1,Zürich,3121
2019-06-22,6,Obwalden,680
2019-06-22,21,Ticino,87228
2019-06-22,9,Zug,550
2019-06-22,13,Basel-Landschaft,1571
2019-06-22,2,Bern,547
2019-06-22,17,St. Gallen,6468
2019-06-22,22,Vaud,70
2019-06-22,12,Basel-Stadt,2243
2019-06-22,7,Nidwalden,277
2019-06-22,3,Luzern,1745
2019-06-22,18,Graubünden,5004
2019-06-22,16,Appenzell Innerrhoden,60
2019-06-22,11,Solothurn,253
2019-06-22,23,Valais,198
2019-06-22,8,Glarus,56
2019-06-22,19,Aargau,1121
2019-06-22,4,Uri,2234
2019-06-22,15,Appenzell Ausserrhoden,52
2019-06-22,-1,Other,17
2019-06-23,5,Schwyz,788
2019-06-23,10,Fribourg,113
2019-06-23,24,Neuchâtel,52
2019-06-23,25,Genève,65
2019-06-23,14,Schaffhausen,932
2019-06-23,20,Thurgau,589
2019-06-23,1,Zürich,4144
2019-06-23,6,Obwalden,674
2019-06-23,21,Ticino,87586
2019-06-23,9,Zug,685
2019-06-23,13,Basel-Landschaft,1011
2019-06-23,2,Bern,578
2019-06-23,17,St. Gallen,4130
2019-06-23,22,Vaud,136
2019-06-23,12,Basel-Stadt,1871
2019-06-23,7,Nidwalden,318
2019-06-23,3,Luzern,2086
2019-06-23,18,Graubünden,6083
2019-06-23,16,Appenzell Innerrhoden,59
2019-06-23,11,Solothurn,352
2019-06-23,23,Valais,402
2019-06-23,8,Glarus,89
2019-06-23,19,Aargau,1173
2019-06-23,4,Uri,3123
2019-06-23,15,Appenzell Ausserrhoden,67
2019-06-23,-1,Other,27
2019-06-24,5,Schwyz,454
2019-06-24,10,Fribourg,83
2019-06-24,24,Neuchâtel,48
2019-06-24,25,Genève,81
2019-06-24,14,Schaffhausen,345
2019-06-24,20,Thurgau,184
2019-06-24,1,Zürich,2724
2019-06-24,6,Obwalden,475
2019-06-24,21,Ticino,79997
2019-06-24,9,Zug,546
2019-06-24,13,Basel-Landschaft,534
2019-06-24,2,Bern,662
2019-06-24,17,St. Gallen,1535
2019-06-24,22,Vaud,105
2019-06-24,12,Basel-Stadt,1304
2019-06-24,7,Nidwalden,193
2019-06-24,3,Luzern,1666
2019-06-24,18,Graubünden,1844
2019-06-24,16,Appenzell Innerrhoden,27
2019-06-24,11,Solothurn,368
2019-06-24,23,Valais,157
2019-06-24,8,Glarus,29
2019-06-24,19,Aargau,920
2019-06-24,4,Uri,1651
2019-06-24,15,Appenzell Ausserrhoden,40
2019-06-24,-1,Other,32
2019-06-25,5,Schwyz,299
2019-06-25,10,Fribourg,53
2019-06-25,24,Neuchâtel,48
2019-06-25,25,Genève,36
2019-06-25,14,Schaffhausen,186
2019-06-25,20,Thurgau,181
2019-06-25,1,Zürich,2083
2019-06-25,6,Obwalden,423
2019-06-25,21,Ticino,80324
2019-06-25,9,Zug,284
2019-06-25,13,Basel-Landschaft,444
2019-06-25,2,Bern,514
2019-06-25,17,St. Gallen,1085
2019-06-25,22,Vaud,70
2019-06-25,12,Basel-Stadt,1050
2019-06-25,7,Nidwalden,198
2019-06-25,3,Luzern,1259
2019-06-25,18,Graubünden,1692
2019-06-25,11,Solothurn,265
2019-06-25,23,Valais,139
2019-06-25,8,Glarus,38
2019-06-25,19,Aargau,632
2019-06-25,4,Uri,1360
2019-06-25,-1,Other,66
2019-06-26,5,Schwyz,325
2019-06-26,10,Fribourg,60
2019-06-26,24,Neuchâtel,45
2019-06-26,25,Genève,42
2019-06-26,14,Schaffhausen,210
2019-06-26,20,Thurgau,165
2019-06-26,1,Zürich,2037
2019-06-26,6,Obwalden,418
2019-06-26,21,Ticino,83692
2019-06-26,9,Zug,520
2019-06-26,13,Basel-Landschaft,529
2019-06-26,2,Bern,585
2019-06-26,17,St. Gallen,1110
2019-06-26,22,Vaud,92
2019-06-26,12,Basel-Stadt,1245
2019-06-26,7,Nidwalden,180
2019-06-26,3,Luzern,1415
2019-06-26,18,Graubünden,1773
2019-06-26,11,Solothurn,285
2019-06-26,26,Jura,22
2019-06-26,23,Valais,147
2019-06-26,8,Glarus,27
2019-06-26,19,Aargau,764
2019-06-26,4,Uri,1490
2019-06-26,15,Appenzell Ausserrhoden,28
2019-06-26,-1,Other,22
2019-06-27,5,Schwyz,445
2019-06-27,10,Fribourg,48
2019-06-27,24,Neuchâtel,37
2019-06-27,25,Genève,53
2019-06-27,14,Schaffhausen,247
2019-06-27,20,Thurgau,156
2019-06-27,1,Zürich,2011
2019-06-27,6,Obwalden,471
2019-06-27,21,Ticino,86661
2019-06-27,9,Zug,318
2019-06-27,13,Basel-Landschaft,574
2019-06-27,2,Bern,609
2019-06-27,17,St. Gallen,1321
2019-06-27,22,Vaud,49
2019-06-27,12,Basel-Stadt,1376
2019-06-27,7,Nidwalden,190
2019-06-27,3,Luzern,1284
2019-06-27,18,Graubünden,1881
2019-06-27,11,Solothurn,311
2019-06-27,26,Jura,22
2019-06-27,23,Valais,131
2019-06-27,8,Glarus,38
2019-06-27,19,Aargau,745
2019-06-27,4,Uri,1611
2019-06-27,15,Appenzell Ausserrhoden,22
2019-06-27,-1,Other,31
2019-06-28,5,Schwyz,402
2019-06-28,10,Fribourg,79
2019-06-28,24,Neuchâtel,54
2019-06-28,25,Genève,28
2019-06-28,14,Schaffhausen,320
2019-06-28,20,Thurgau,239
2019-06-28,1,Zürich,2407
2019-06-28,6,Obwalden,401
2019-06-28,21,Ticino,97475
2019-06-28,9,Zug,314
2019-06-28,13,Basel-Landschaft,739
2019-06-28,2,Bern,610
2019-06-28,17,St. Gallen,1599
2019-06-28,22,Vaud,90
2019-06-28,12,Basel-Stadt,1602
2019-06-28,7,Nidwalden,303
2019-06-28,3,Luzern,1368
2019-06-28,18,Graubünden,2514
2019-06-28,11,Solothurn,347
2019-06-28,23,Valais,265
2019-06-28,8,Glarus,25
2019-06-28,19,Aargau,1022
2019-06-28,4,Uri,1894
2019-06-28,15,Appenzell Ausserrhoden,27
2019-06-28,-1,Other,52
2019-06-29,5,Schwyz,433
2019-06-29,10,Fribourg,61
2019-06-29,24,Neuchâtel,48
2019-06-29,14,Schaffhausen,317
2019-06-29,20,Thurgau,370
2019-06-29,1,Zürich,2946
2019-06-29,6,Obwalden,425
2019-06-29,21,Ticino,94842
2019-06-29,9,Zug,357
2019-06-29,13,Basel-Landschaft,837
2019-06-29,2,Bern,632
2019-06-29,17,St. Gallen,2351
2019-06-29,22,Vaud,70
2019-06-29,12,Basel-Stadt,1781
2019-06-29,7,Nidwalden,264
2019-06-29,3,Luzern,1318
2019-06-29,18,Graubünden,3671
2019-06-29,16,Appenzell Innerrhoden,24
2019-06-29,11,Solothurn,288
2019-06-29,23,Valais,243
2019-06-29,8,Glarus,47
2019-06-29,19,Aargau,841
2019-06-29,4,Uri,1818
2019-06-29,15,Appenzell Ausserrhoden,54
2019-06-29,-1,Other,38
2019-06-30,5,Schwyz,719
2019-06-30,10,Fribourg,124
2019-06-30,24,Neuchâtel,55
2019-06-30,25,Genève,77
2019-06-30,14,Schaffhausen,419
2019-06-30,20,Thurgau,387
2019-06-30,1,Zürich,4741
2019-06-30,6,Obwalden,619
2019-06-30,21,Ticino,86108
2019-06-30,9,Zug,516
2019-06-30,13,Basel-Landschaft,913
2019-06-30,2,Bern,978
2019-06-30,17,St. Gallen,2407
2019-06-30,22,Vaud,180
2019-06-30,12,Basel-Stadt,1844
2019-06-30,7,Nidwalden,391
2019-06-30,3,Luzern,2073
2019-06-30,18,Graubünden,3923
2019-06-30,16,Appenzell Innerrhoden,41
2019-06-30,11,Solothurn,501
2019-06-30,26,Jura,27
2019-06-30,23,Valais,411
2019-06-30,8,Glarus,101
2019-06-30,19,Aargau,1147
2019-06-30,4,Uri,2783
2019-06-30,15,Appenzell Ausserrhoden,51
2019-06-30,-1,Other,13
2019-07-01,5,Schwyz,370
